genus,sample,group,value
Firmicutes,HC-A,HC-A,53.50449932
Bacteroidetes,HC-A,HC-A,7.67485915
Bacteroidota,HC-A,HC-A,25.14520681
Proteobacteria,HC-A,HC-A,8.821585562
Actinobacteria,HC-A,HC-A,0.222869356
Actinobacteriota,HC-A,HC-A,2.696669316
Verrucomicrobia,HC-A,HC-A,0.013665485
Cyanobacteria_Chloroplast,HC-A,HC-A,0.859498509
Verrucomicrobiota,HC-A,HC-A,0.16112741
Others,HC-A,HC-A,0.900019081
Firmicutes,PCOS-A,PCOS-A,50.23818724
Bacteroidetes,PCOS-A,PCOS-A,6.734303952
Bacteroidota,PCOS-A,PCOS-A,27.31619933
Proteobacteria,PCOS-A,PCOS-A,7.463469861
Actinobacteria,PCOS-A,PCOS-A,2.791278839
Actinobacteriota,PCOS-A,PCOS-A,3.653050719
Verrucomicrobia,PCOS-A,PCOS-A,0.005432521
Cyanobacteria_Chloroplast,PCOS-A,PCOS-A,0.478386662
Verrucomicrobiota,PCOS-A,PCOS-A,0.27148012
Others,PCOS-A,PCOS-A,1.04821075
Firmicutes,HC-E,HC-E,47.47876221
Bacteroidetes,HC-E,HC-E,32.71781567
Bacteroidota,HC-E,HC-E,10.00434975
Proteobacteria,HC-E,HC-E,4.481023781
Actinobacteria,HC-E,HC-E,1.979549139
Actinobacteriota,HC-E,HC-E,0.401235703
Verrucomicrobia,HC-E,HC-E,1.401383308
Cyanobacteria_Chloroplast,HC-E,HC-E,0.010863492
Verrucomicrobiota,HC-E,HC-E,0.185329134
Others,HC-E,HC-E,1.339687812
Firmicutes,PCOS-E,PCOS-E,43.84760322
Bacteroidetes,PCOS-E,PCOS-E,33.55137395
Bacteroidota,PCOS-E,PCOS-E,13.41683406
Proteobacteria,PCOS-E,PCOS-E,4.249565262
Actinobacteria,PCOS-E,PCOS-E,1.756259961
Actinobacteriota,PCOS-E,PCOS-E,0.438068155
Verrucomicrobia,PCOS-E,PCOS-E,0.770468168
Cyanobacteria_Chloroplast,PCOS-E,PCOS-E,0.011076916
Verrucomicrobiota,PCOS-E,PCOS-E,0.314751144
Others,PCOS-E,PCOS-E,1.643999163
